1	1
1	3
2	3
2	4
2	1
3	1
3	3
3	4
4	1
4	4
5	1
5	2
5	3
6	89
6	167
6	165
6	36
7	122
7	27
8	144
8	170
9	180
9	45
10	47
10	121
10	154
10	177
11	198
11	130
11	44
11	161
12	66
12	27
13	18
13	108
14	41
14	139
14	150
15	173
15	115
16	58
17	203
17	159
17	25
18	56
19	101
19	128
20	71
20	35
21	165
21	101
21	11
21	116
22	117
23	157
23	183
23	140
23	113
24	7
24	89
24	147
24	71
25	112
25	48
25	99
25	179
26	160
26	87
26	24
27	24
27	141
27	139
27	88
28	158
28	80
28	69
28	18
29	83
29	135
30	77
30	62
30	139
30	98
31	192
31	26
31	160
31	69
32	195
32	29
32	79
33	121
33	150
33	118
34	6
34	110
34	76
35	58
35	190
35	145
36	71
36	112
36	146
37	49
37	49
37	74
37	164
38	52
39	48
39	35
40	63
40	140
40	24
41	38
41	33
41	178
41	170
42	89
42	26
43	103
44	199
44	189
44	74
44	155
45	21
46	183
47	11
47	18
48	24
49	180
49	160
50	168
50	172
50	100
51	179
51	86
51	168
51	60
52	39
52	163
52	37
52	53
53	129
53	78
53	165
54	90
54	42
54	167
55	176
56	112
56	195
56	16
57	19
57	77
57	79
57	127
58	199
59	30
59	168
59	112
59	108
60	122
60	176
60	165
61	128
61	15
62	72
63	77
63	29
63	129
63	38
64	200
65	91
65	142
65	9
65	194
66	139
66	8
67	109
67	32
67	156
68	144
69	37
69	129
69	160
69	80
70	72
70	190
70	95
70	23
71	79
71	31
72	65
73	14
73	55
74	30
74	203
74	24
75	120
75	5
75	22
75	203
76	122
77	26
77	30
77	11
77	153
78	188
78	157
78	11
78	191
79	187
80	74
80	189
80	61
81	141
81	52
82	52
82	49
82	76
83	162
83	159
83	117
83	88
84	97
84	74
84	118
85	36
85	134
86	29
87	61
87	182
88	86
88	19
88	126
88	49
89	118
89	41
89	125
90	38
91	193
91	172
91	124
92	140
93	195
93	196
94	156
94	185
94	26
94	139
95	97
95	111
95	180
95	127
96	21
97	137
97	144
97	195
97	17
98	20
98	112
99	106
99	21
99	194
100	53
101	83
102	122
102	118
102	188
102	146
103	128
103	162
103	176
104	105
105	94
105	37
106	23
106	15
107	29
108	53
108	5
109	165
109	105
110	72
110	78
111	48
111	69
111	183
112	142
112	193
112	46
113	151
113	31
114	8
114	28
114	115
114	164
115	134
115	154
116	148
116	7
116	71
117	28
117	87
117	156
117	38
118	182
118	155
118	81
118	113
119	156
119	194
120	14
120	80
121	126
121	72
121	127
122	150
122	157
122	104
123	159
123	59
123	48
124	81
125	104
125	204
125	37
126	203
126	165
126	82
127	140
128	176
128	80
128	115
129	60
130	156
130	12
131	28
131	202
132	101
133	140
133	29
133	40
134	92
134	31
134	169
135	160
136	127
136	204
136	51
136	114
137	107
137	152
137	94
137	84
138	116
138	196
138	86
139	125
140	57
140	12
140	197
140	44
141	31
141	122
141	53
142	72
142	195
143	183
144	14
144	162
144	145
145	8
145	179
145	148
146	21
146	107
146	58
147	5
147	131
147	7
147	111
148	104
148	58
148	144
149	70
149	174
149	183
149	18
150	55
150	127
150	111
151	129
151	79
151	130
152	197
152	169
152	105
153	159
153	34
154	110
155	93
155	47
155	134
156	172
156	112
156	146
156	115
157	62
157	189
157	192
158	114
159	92
159	184
160	170
161	86
162	173
162	201
162	159
163	157
163	127
163	103
164	177
164	41
165	189
165	167
166	146
167	8
167	56
167	50
167	37
168	69
168	143
168	68
168	181
169	148
169	166
169	34
170	77
170	189
171	95
171	96
171	139
172	39
173	72
173	46
174	50
174	158
175	12
175	104
175	110
176	23
176	194
177	161
177	113
177	130
177	17
178	33
178	46
178	170
178	53
179	198
180	72
180	113
180	181
181	164
181	7
181	137
182	178
182	52
183	135
183	150
184	115
185	112
185	53
186	191
187	107
187	143
188	28
188	120
189	67
190	48
190	32
190	28
190	197
191	114
191	10
191	82
191	105
192	66
193	156
193	150
193	132
193	14
194	142
194	27
195	49
195	43
196	88
197	110
197	24
197	136
197	136
198	115
198	54
198	89
198	112
199	60
199	149
199	94
200	186
200	16
200	194
200	8
201	79
202	15
202	97
203	123
203	117
203	75
204	158
204	77
204	15
205	47
205	14
205	53
205	74
206	19
206	151
206	93
206	6
207	182
207	185
207	154
207	26
208	113
208	138
208	9
209	191
209	29
209	34
209	17
210	63
211	188
211	9
211	180
211	130
212	177
212	124
213	124
214	144
214	19
214	35
214	47
215	103
215	173
216	63
216	62
217	68
218	179
218	189
218	124
218	127
219	10
219	118
220	71
220	63
220	191
221	87
221	126
221	105
221	10
222	179
222	37
222	64
223	138
224	52
224	74
224	19
224	122
225	125
225	201
225	176
225	100
226	66
227	8
227	148
227	31
227	9
228	115
229	149
230	52
230	82
230	177
231	138
231	18
232	202
232	72
233	52
233	112
233	23
234	8
235	177
236	105
236	201
236	82
236	188
237	35
238	178
238	179
239	168
239	30
239	58
240	74
240	204
241	134
241	174
242	72
242	179
243	52
244	66
244	48
245	60
245	171
245	51
245	148
246	152
246	82
247	152
248	64
248	86
249	201
249	195
249	190
250	17
250	72
250	23
